left_actor_name,arrow,right_actor_name
Christopher Lambert,<->,Adrian Paul
Christopher Lambert,<->,Bruce Payne
Christopher Lambert,<->,Lisa Barbuscia
Tobey Maguire,<->,Kirsten Dunst
Tobey Maguire,<->,Willem Dafoe
Tobey Maguire,<->,James Franco
Kevin Costner,<->,Bruce Greenwood
Kevin Costner,<->,Shawn Driscoll
Kevin Costner,<->,Drake Cook
Angelina Jolie,<->,Jon Voight
Angelina Jolie,<->,Iain Glen
Angelina Jolie,<->,Noah Taylor
Paul Sorvino,<->,Steven Tyler
Paul Sorvino,<->,Nick Chinlund
Paul Sorvino,<->,Debi Mazar
John Cusack,<->,Iben Hjejle
John Cusack,<->,Todd Louiso
John Cusack,<->,Jack Black
Will Smith,<->,Matt Damon
Will Smith,<->,Charlize Theron
Will Smith,<->,Bruce McGill
Armand Assante,<->,Diane Venora
Armand Assante,<->,Joe Grifasi
Armand Assante,<->,Tom Mason
Paul Newman,<->,Linda Fiorentino
Paul Newman,<->,Dermot Mulroney
Paul Newman,<->,Susan Barnes
Matt Damon,<->,Penélope Cruz
Matt Damon,<->,Henry Thomas
Matt Damon,<->,Angelina Torres
Leslie Nielsen,<->,Lochlyn Munro
Leslie Nielsen,<->,Vanessa Angel
Leslie Nielsen,<->,William Forsythe
Shah Rukh Khan,<->,Aishwarya Rai Bachchan
Shah Rukh Khan,<->,Chandrachur Singh
Shah Rukh Khan,<->,Sharad S. Kapoor
Joe Grisaffi,<->,Anne Quackenbush
Joe Grisaffi,<->,Therese Kotara
Joe Grisaffi,<->,Garrison Wynn
Michael Madsen,<->,L.P. Brown III
Michael Madsen,<->,Charles Napier
Michael Madsen,<->,Brion James
Linden Ashby,<->,Leslie Bega
Linden Ashby,<->,Larry Drake
Linden Ashby,<->,Melvin Van Peebles
Kristin Scott Thomas,<->,Sean Penn
Kristin Scott Thomas,<->,Anne Bancroft
Kristin Scott Thomas,<->,James Fox
Vincent Kartheiser,<->,Chad Christ
Vincent Kartheiser,<->,Sabine Singh
Vincent Kartheiser,<->,Richard M. Stuart
Norm MacDonald,<->,Dave Chappelle
Norm MacDonald,<->,Elaine Stritch
Norm MacDonald,<->,Danny DeVito
Robin Givens,<->,Richard T. Jones
Robin Givens,<->,Salli Richardson-Whitfield
Robin Givens,<->,Eric George
Yahoo Serious,<->,Helen Dallimore
Yahoo Serious,<->,David Field
Yahoo Serious,<->,Grant Piro
Frankie Muniz,<->,Kevin Bacon
Frankie Muniz,<->,Diane Lane
Frankie Muniz,<->,Luke Wilson
Madonna,<->,Rupert Everett
Madonna,<->,Benjamin Bratt
Madonna,<->,Illeana Douglas
Douglas Spain,<->,Aimee Graham
Douglas Spain,<->,Nicholle Tom
Douglas Spain,<->,Dante Basco
Jesse Bradford,<->,French Stewart
Jesse Bradford,<->,Paula Garcés
Jesse Bradford,<->,Michael Biehn
Dougray Scott,<->,Kate Winslet
Dougray Scott,<->,Saffron Burrows
Dougray Scott,<->,Jeremy Northam
Malcolm McDowell,<->,Talisa Soto
Malcolm McDowell,<->,Bruce Ramsay
Malcolm McDowell,<->,Kent McQuaid
Ewan McGregor,<->,Susan Lynch
Ewan McGregor,<->,Andrew Scott
Ewan McGregor,<->,Vinnie McCabe
Mark Addy,<->,Stephen Baldwin
Mark Addy,<->,Kristen Johnston
Mark Addy,<->,Jane Krakowski
Gene Hackman,<->,Owen Wilson
Gene Hackman,<->,Gabriel Macht
Gene Hackman,<->,Charles Malik Whitfield
Lillian Adams,<->,Casey Affleck
Lillian Adams,<->,Cara Buono
Lillian Adams,<->,Nestor Carbonell
Jude Law,<->,Nicole Kidman
Jude Law,<->,Renée Zellweger
Jude Law,<->,Eileen Atkins
John E. Vitali,<->,Susan Blake
John E. Vitali,<->,Robert Pascucci
John E. Vitali,<->,Tony Devon
Liam Waite,<->,William Forsythe
Liam Waite,<->,Tom Arnold
Liam Waite,<->,Zack Ward
Skeet Ulrich,<->,Russell Wong
Skeet Ulrich,<->,Angela Featherstone
Skeet Ulrich,<->,Donal Logue
Wesley Snipes,<->,Donald Sutherland
Wesley Snipes,<->,Maury Chaykin
Wesley Snipes,<->,Anne Archer
Cameron Diaz,<->,Drew Barrymore
Cameron Diaz,<->,Lucy Liu
Cameron Diaz,<->,Bill Murray
James Russo,<->,Heino Ferch
James Russo,<->,Ornella Muti
James Russo,<->,Steven Waddington
Olivia Williams,<->,Balthazar Getty
Olivia Williams,<->,Arly Jover
Olivia Williams,<->,Jason Cairns
Shane Brolly,<->,Vincent D'Onofrio
Shane Brolly,<->,Gary Sinise
Shane Brolly,<->,Madeleine Stowe
Jerry Stiller,<->,Janeane Garofalo
Jerry Stiller,<->,Max Perlich
Jerry Stiller,<->,Ted Demme
Katharina Wressnig,<->,Peter Sarsgaard
Katharina Wressnig,<->,Angeline Ball
Katharina Wressnig,<->,Geoffrey Lower
Ernest Borgnine,<->,Eileen Brennan
Ernest Borgnine,<->,Jeffrey Sharmat
Ernest Borgnine,<->,Stephanie Sawyer
